IP,start,end,duration,activity,activityID,errorcode,description
192.168.220.16,2017-03-15 09:08:56.326217,2017-03-15 09:09:19.834100,0:00:23.507883,mailing,5773,0,---
192.168.220.16,2017-03-15 09:09:19.840566,2017-03-15 09:12:30.558207,0:03:10.717641,browsing,5774,0,---
192.168.220.16,2017-03-15 09:12:30.564642,2017-03-15 09:12:45.659601,0:00:15.094959,printing,5775,0,---
192.168.220.16,2017-03-15 09:12:45.665589,2017-03-15 09:13:46.107766,0:01:00.442177,mailing,5776,0,---
192.168.220.16,2017-03-15 09:13:46.113463,2017-03-15 09:14:01.160720,0:00:15.047257,printing,5777,0,---
192.168.220.16,2017-03-15 09:14:01.168000,2017-03-15 09:16:11.695720,0:02:10.527720,copyFiles,5778,0,---
192.168.220.16,2017-03-15 09:16:17.840566,2017-03-15 12:40:30.558207,3:24:16.717641,browsing,5781,0,---
192.168.220.16,2017-03-15 12:59:24.459383,2017-03-15 13:01:20.349701,0:01:55.890318,browsing,5782,0,---
192.168.220.16,2017-03-15 13:01:20.355884,2017-03-15 13:01:35.405476,0:00:15.049592,printing,5783,0,---
192.168.220.16,2017-03-15 13:03:46.653195,2017-03-15 13:07:52.195389,0:04:05.542194,browsing,5784,0,---
192.168.220.16,2017-03-15 13:34:02.065470,2017-03-15 13:41:30.863192,0:07:28.797722,browsing,5788,0,---
192.168.220.16,2017-03-15 14:05:53.060679,2017-03-15 14:08:41.091239,0:02:48.030560,breaks,5791,0,---
192.168.220.16,2017-03-15 14:08:41.099158,2017-03-15 14:14:37.852568,0:05:56.753410,private,5792,0,---
192.168.220.16,2017-03-15 14:14:37.859375,2017-03-15 14:15:38.301747,0:01:00.442372,mailing,5793,0,---
192.168.220.16,2017-03-15 14:15:43.065470,2017-03-15 17:15:43.863192,3:00:00.797722,browsing,5798,0,---
192.168.220.16,2017-03-16 09:04:47.255540,2017-03-16 09:05:49.305704,0:01:02.050164,breaks,5799,0,---
192.168.220.16,2017-03-16 09:07:45.662655,2017-03-16 09:09:16.614220,0:01:30.951565,mailing,5800,0,---
